observacoes;nome_popular;nome_cientifico
1;suiriri-cavaleiro;Machetornis rixosa
9;bem-te-vi;Pitangus sulphuratus
53;neinei;Megarynchus pitangua
22;bem-te-vi-rajado;Myiodynastes maculatus
1;peitica;Empidonomus varius
6;suiriri;Tyrannus melancholicus
4;tesourinha/tesourinha-do-norte;Tyrannus savana
32;pitiguari;Cyclarhis gujanensis
41;juruviara;Vireo chivi
10;andorinha-do-barranco;Riparia riparia
5;andorinha-de-sobre-branco;Tachycineta leucorrhoa
3;andorinha-grande;Progne chalybea
4;andorinha-do-campo;Progne tapera
7;andorinha-serradora;Stelgidopteryx ruficollis
119;andorinha-pequena-de-casa;Pygochelidon cyanoleuca
1;andorinha-de-bando;Hirundo rustica
23;balança-rabo-de-máscara;Polioptila dumicola
82;corruíra;Troglodytes musculus
3;estorninho;Sturnus vulgaris
6;sabiá-do-campo;Mimus saturninus
19;sabiá-poca;Turdus amaurochalinus
16;sabiá-coleira;Turdus albicollis
9;sabiá-barranco;Turdus leucomelas
7;sabiá-laranjeira;Turdus rufiventris
3;pardal;Passer domesticus
2;caminheiro-zumbidor;Anthus chii
53;caminheiro-de-espora;Anthus correndera
81;fim-fim;Euphonia chlorotica
14;pintassilgo;Spinus magellanicus
7;tico-tico-do-campo;Ammodramus humeralis
5;tico-tico;Zonotrichia capensis
2;polícia-inglesa-do-sul;Leistes superciliaris
37;tecelão;Cacicus chrysopterus
15;encontro;Icterus pyrrhopterus
17;chupim-azeviche;Molothrus rufoaxillaris
3;chupim;Molothrus bonariensis
8;cardeal-do-banhado;Amblyramphus holosericeus
206;asa-de-telha;Agelaioides badius
4;sargento;Agelasticus thilius
35;garibaldi;Chrysomus ruficapillus
9;veste-amarela;Xanthopsar flavus
11;chupim-do-brejo;Pseudoleistes guirahuro
237;dragão;Pseudoleistes virescens
7;pia-cobra;Geothlypis velata
60;mariquita;Setophaga pitiayumi
5;pula-pula;Basileuterus culicivorus
13;pula-pula-assobiador;Myiothlypis leucoblephara
14;sanhaço-de-fogo/montano;Piranga flava
9;tiê-de-bando/do-mato-grosso;Habia rubica
4;azulão;Cyanoloxia brissonii
1;cardeal;Paroaria coronata
1;cavalaria;Paroaria capitata
36;quete-do-sul;Microspingus cabanisi
15;tiê-preto;Tachyphonus coronatus
1;sanhaço-frade;Stephanophorus diadematus
7;saíra-viúva;Pipraeidea melanonota
4;sanhaço-papa-laranja;Rauenia bonariensis
2;sanhaço-cinzento;Thraupis sayaca
2;saíra-preciosa;Stilpnia preciosa
24;saí-azul;Dacnis cayana
13;tico-tico-do-banhado;Donacospiza albifrons
5;quem-te-vestiu;Poospiza nigrorufa
2;canário-da-terra;Sicalis flaveola
3;tipio;Sicalis luteola
75;canário-do-brejo;Emberizoides ypiranganus
